Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
1/22/20,555,17,28,510,0,3.06,5.05,60.71,6
1/23/20,654,18,30,606,99,2.75,4.59,60.0,8
1/24/20,941,26,36,879,287,2.76,3.83,72.22,9
1/25/20,1434,42,39,1353,493,2.93,2.72,107.69,11
1/26/20,2118,56,52,2010,684,2.64,2.46,107.69,13
1/27/20,2927,82,61,2784,809,2.8,2.08,134.43,16
1/28/20,5578,131,107,5340,2651,2.35,1.92,122.43,16
1/29/20,6167,133,126,5908,589,2.16,2.04,105.56,18
1/30/20,8235,171,143,7921,2068,2.08,1.74,119.58,20
1/31/20,9927,213,222,9492,1692,2.15,2.24,95.95,23
10/1/20,34290251,1022998,23862547,9404706,34280324,2.98,69.59,4.29,188
10/10/20,37207452,1072868,25853532,10281052,2917201,2.88,69.48,4.15,188
10/11/20,37475928,1076762,26071358,10327808,268476,2.87,69.57,4.13,188
10/12/20,37802138,1080685,26275711,10445742,326210,2.86,69.51,4.11,189
10/13/20,38130527,1086146,26466156,10578225,328389,2.85,69.41,4.1,189
10/14/20,38511143,1092149,26678105,10740889,380616,2.84,69.27,4.09,189
10/15/20,38917803,1098254,26885286,10934263,406660,2.82,69.08,4.08,189
10/16/20,39329140,1104354,27089940,11134846,411337,2.81,68.88,4.08,189
10/17/20,39670680,1109833,27288564,11272283,341540,2.8,68.79,4.07,189
10/18/20,39955637,1113178,27487616,11354843,284957,2.79,68.8,4.05,189
10/19/20,40395527,1118159,27697918,11579450,439890,2.77,68.57,4.04,189
10/2/20,34585720,1027966,24034444,9523310,0,2.97,69.49,4.28,188
10/20/20,40783295,1124744,27908262,11750289,6197575,2.76,68.43,4.03,189
10/3/20,34905722,1033319,24292630,9579773,0,2.96,69.59,4.25,188
10/4/20,35153599,1037083,24510831,9605685,247877,2.95,69.72,4.23,188
10/5/20,35483630,1044090,24749718,9689822,330031,2.94,69.75,4.22,188
10/6/20,35806972,1049875,24981297,9775800,323342,2.93,69.77,4.2,188
10/7/20,36156226,1055683,25236697,9863846,349254,2.92,69.8,4.18,188
10/8/20,36515663,1061927,25456143,9997593,359437,2.91,69.71,4.17,188
10/9/20,36876489,1068042,25661425,10147022,360826,2.9,69.59,4.16,188
2/1/20,12038,259,284,11495,0,2.15,2.36,91.2,25
2/10/20,42769,1013,3946,37810,30731,2.37,9.23,25.67,27
2/11/20,44811,1113,4683,39015,2042,2.48,10.45,23.77,27
2/12/20,45229,1118,5150,38961,418,2.47,11.39,21.71,27
2/13/20,60382,1371,6295,52716,15153,2.27,10.43,21.78,27
2/14/20,66909,1523,8058,57328,6527,2.28,12.04,18.9,28
2/15/20,69051,1666,9395,57990,2142,2.41,13.61,17.73,28
2/16/20,71235,1770,10865,58600,2184,2.48,15.25,16.29,28
2/17/20,73270,1868,12583,58819,2035,2.55,17.17,14.85,28
2/18/20,75152,2008,14352,58792,1882,2.67,19.1,13.99,28
2/19/20,75652,2123,16121,57408,500,2.81,21.31,13.17,29
2/2/20,16787,362,472,15953,0,2.16,2.81,76.69,25
