Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
1/22/20,555,17,28,510,0,3.06,5.05,60.71,6
1/23/20,654,18,30,606,99,2.75,4.59,60.0,8
1/24/20,941,26,36,879,287,2.76,3.83,72.22,9
1/25/20,1434,42,39,1353,493,2.93,2.72,107.69,11
1/26/20,2118,56,52,2010,684,2.64,2.46,107.69,13
1/27/20,2927,82,61,2784,809,2.8,2.08,134.43,16
1/28/20,5578,131,107,5340,2651,2.35,1.92,122.43,16
1/29/20,6166,133,126,5907,588,2.16,2.04,105.56,18
1/30/20,8234,171,143,7920,2068,2.08,1.74,119.58,20
1/31/20,9927,213,222,9492,1693,2.15,2.24,95.95,24
2/1/20,12038,259,284,11495,2111,2.15,2.36,91.2,25
2/10/20,42762,1013,3946,37803,30724,2.37,9.23,25.67,27
2/11/20,44802,1113,4683,39006,2040,2.48,10.45,23.77,27
2/12/20,45221,1118,5150,38953,419,2.47,11.39,21.71,27
2/13/20,60368,1371,6295,52702,15147,2.27,10.43,21.78,27
2/14/20,66885,1523,8058,57304,6517,2.28,12.05,18.9,28
2/15/20,69030,1666,9395,57969,2145,2.41,13.61,17.73,28
2/16/20,71224,1770,10865,58589,2194,2.49,15.25,16.29,28
2/17/20,73258,1868,12583,58807,2034,2.55,17.18,14.85,28
2/18/20,75136,2007,14352,58777,1878,2.67,19.1,13.98,28
2/19/20,75639,2122,16121,57396,503,2.81,21.31,13.16,29
2/2/20,16787,362,472,15953,0,2.16,2.81,76.69,25
2/20/20,76197,2247,18177,55773,59410,2.95,23.86,12.36,29
2/21/20,76819,2251,18890,55678,622,2.93,24.59,11.92,31
2/22/20,78572,2458,22886,53228,1753,3.13,29.13,10.74,31
2/23/20,78958,2469,23394,53095,386,3.13,29.63,10.55,31
2/24/20,79525,2629,25227,51669,567,3.31,31.72,10.42,36
2/25/20,80372,2708,27905,49759,847,3.37,34.72,9.7,41
2/26/20,81346,2770,30384,48192,974,3.41,37.35,9.12,47
2/27/20,82704,2814,33277,46613,1358,3.4,40.24,8.46,51
2/28/20,84070,2872,36711,44487,1366,3.42,43.67,7.82,57
2/29/20,85967,2941,39782,43244,1897,3.42,46.28,7.39,61
2/3/20,19881,426,623,18832,0,2.14,3.13,68.38,25
2/4/20,23892,492,852,22548,4011,2.06,3.57,57.75,26
2/5/20,27635,564,1124,25947,3743,2.04,4.07,50.18,26
2/6/20,30794,634,1487,28673,3159,2.06,4.83,42.64,26
2/7/20,34391,719,2011,31661,3597,2.09,5.85,35.75,27
2/8/20,37120,806,2616,33698,2729,2.17,7.05,30.81,27
2/9/20,40150,906,3244,36000,3030,2.26,8.08,27.93,27
3/1/20,88325,2996,42716,42613,48175,3.39,48.36,7.01,66
3/10/20,118375,4263,64404,49708,30050,3.6,54.41,6.62,106
3/11/20,125704,4611,67002,54091,7329,3.67,53.3,6.88,112
3/12/20,130909,4913,68323,57673,5205,3.75,52.19,7.19,114
3/13/20,145204,5411,70250,69543,14295,3.73,48.38,7.7,121
